code	country	latitude	longitude
AR	Argentina	-38.416097	-63.616672
AT	Austria	47.516231	14.550072
AU	Australia	-25.274398	133.775136
BE	Belgium	50.503887	4.469936
BG	Bulgaria	42.733883	25.48583
BR	Brazil	-14.235004	-51.92528
BY	Belarus	53.709807	27.953389
CA	Canada	56.130366	-106.346771
CH	Switzerland	46.818188	8.227512
CL	Chile	-35.675147	-71.542969
CN	China	35.86166	104.195397
CO	Colombia	4.570868	-74.297333
DE	Germany	51.165691	10.451526
DK	Denmark	56.26392	9.501785
DZ	Algeria	28.033886	1.659626
ES	Spain	40.463667	-3.74922
FR	France	46.227638	2.213749
GF	French Guiana	3.933889	-53.125782
GP	Guadeloupe	16.265	-61.551
GR	Greece	39.074208	21.824312
GT	Guatemala	15.783471	-90.230759
ID	Indonesia	-0.789275	113.921327
IE	Ireland	53.41291	-8.24389
IL	Israel	31.046051	34.851612
IN	India	20.593684	78.96288
IT	Italy	41.87194	12.56738
JP	Japan	36.204824	138.252924
MA	Morocco	31.791702	-7.09262
MX	Mexico	23.634501	-102.552784
NL	The Netherlands	52.132633	5.291266
NZ	New Zealand	-40.900557	174.885971
PE	Peru	-9.189967	-75.015152
PT	Portugal	39.399872	-8.224454
QA	Qatar	25.354826	51.183884
RE	Reunion	-21.115141	55.536384
RU	Russia	61.52401	105.318756
SE	Sweden	60.128161	18.643501
UK	United Kingdom	55.378051	-3.435973
US	United States of America	37.09024	-95.712891
ZA	South Africa	-30.559482	22.937506
